TELCOM - Network Operations ,teldata@tufts.edu ,10.250.150.225
ERP FINANCE TTS,FINTECH@Tufts.Edu,10.250.140.24
VET - Cummings School of Veterinary Medicine,vetapps@tufts.edu,10.250.132.127
OPS - Operations,tts-operationsit@tufts.edu,10.250.130.22
ESCP - Enterprise Systems/Cloud Platforms,escp@tufts.edu,10.250.132.82
ESCP - Enterprise Systems/Cloud Platforms,escp@tufts.edu,10.250.130.51
VET - Cummings School of Veterinary Medicine,vetapps@tufts.edu,10.250.130.53
IAM - Identity and Access Management,iam@tufts.edu,10.250.108.147
VET - Cummings School of Veterinary Medicine,vetapps@tufts.edu,10.250.146.141
DNTL - School of Dental Medicine,tts_clinsys-request@elist.tufts.edu,10.250.155.23
OPS - Operations,tts-operationsit@tufts.edu,10.250.152.26
LTS - LIBRARY,ults@elist.tufts.edu,10.250.109.29
ESCP - Enterprise Systems/Cloud Platforms,escp@tufts.edu,10.250.108.139
VET - Cummings School of Veterinary Medicine,vetapps@tufts.edu,10.250.130.212
NOC - Network Operations,noc@tufts.edu,10.250.108.122
ERP HR - Human Resources TTS,hr_tech_team@tufts.edu,10.250.140.73
RT - Research Technology,rt-staff@elist.tufts.edu,10.250.224.30
ETS - Educational Technology Services,atsystems@elist.tufts.edu,10.250.164.107
ESCP - Enterprise Systems/Cloud Platforms,escp@tufts.edu,10.250.108.49
ETS - Educational Technology Services,atsystems@elist.tufts.edu,10.250.108.146
OPS - Operations ,tts-operationsit@tufts.edu ,10.250.146.113
UCM - University Communications,markopstech@tufts.edu,10.250.109.13
IAM - Identity and Access Management,iam@tufts.edu,10.250.108.137
EUC - End-Point Engineering,endpoint_engineering@elist.tufts.edu,10.250.130.245
ERP SIS - Student Alumni Services,sis-project-tech-team@elist.tufts.edu,10.250.140.154
RT - Research Technology,rt-staff@elist.tufts.edu,10.250.109.80
DNTL - School of Dental Medicine,tts_clinsys-request@elist.tufts.edu,10.250.130.82
ETS - Educational Technology Services ,N/A,10.250.132.191
WebDev - Design and Digital Solutions TTS,ttswebhosting@tufts.edu,10.250.108.123
ERP FINANCE TTS,FINTECH@Tufts.Edu,10.250.140.180
FACULTY - SEI,Tufts-Server-Managers@sei.org,10.250.130.69
DBA - Database Administration,dba_team@tufts.edu,10.250.104.26
DS - Data Strategy,ds-team@tufts.edu,10.250.146.38
ERP AMP - Student Alumni Services,med-amptech@elist.tufts.edu,10.250.146.134
ESCP - Enterprise Systems/Cloud Platforms,escp@tufts.edu,10.250.132.221
ERP SIS - Student Alumni Services,sis-project-tech-team@elist.tufts.edu,10.250.140.62
RT - Research Technology - COLO - LEVIN LAB,rt-staff@elist.tufts.edu,10.250.130.155
LTS - LIBRARY,ults@elist.tufts.edu,10.250.109.15
DBA - Database Administration,dba_team@tufts.edu,10.250.140.133
OPS - Operations,tts-operationsit@tufts.edu,10.250.108.95
IAM - Identity and Access Management,iam@tufts.edu,10.250.132.39
RT - Research Technology,rt-staff@elist.tufts.edu,10.250.109.112
DS - Data Strategy,ds-team@tufts.edu,10.250.140.110
LTS - LIBRARY,ults@elist.tufts.edu,10.250.130.27
ESCP - Enterprise Systems/Cloud Platforms,escp@tufts.edu,10.250.132.50
ETS - Educational Technology Services,atsystems@elist.tufts.edu,10.250.108.94
ESCP - Enterprise Systems/Cloud Platforms,escp@tufts.edu,10.250.108.194
IAM - Identity and Access Management,iam@tufts.edu,10.250.140.55
FACULTY - COLO,dba_team@tufts.edu,10.250.146.86
RT - Research Technology,rt-staff@elist.tufts.edu,10.250.109.89
OIS - Office of Information Security,infosec-team@tufts.edu,10.250.132.172
ERP SIS - Student Alumni Services ,sis-project-tech-team@elist.tufts.edu ,10.250.152.59
RT - Research Technology,rt-staff@elist.tufts.edu,10.250.132.68
ERP FINANCE TTS,FINTECH@Tufts.Edu,10.250.140.182
ERP HR - Human Resources TTS,hr_tech_team@tufts.edu,10.250.144.73
RT - Research Technology,rt-staff@elist.tufts.edu,10.250.109.74
ESCP - Enterprise Systems/Cloud Platforms,escp@tufts.edu,10.250.130.33
ERP FINANCE TTS,FINTECH@Tufts.Edu,10.250.146.122
IAM - Identity and Access Management,iam@tufts.edu,10.250.108.30
RT - Research Technology,rt-team@tufts.edu,10.250.224.60
RT - Research Technology,rt-team@tufts.edu,10.250.224.62
ETS - Educational Technology Services,atsystems@elist.tufts.edu,10.250.109.36
KASM - Knowledge Accessibility and Service Management ITEE,itsm@tufts.edu,10.250.146.105
ERP Salesforce,John.maroudas@tufts.edu,10.250.146.67
ESCP - Enterprise Systems/Cloud Platforms,escp@tufts.edu,10.250.132.169
ERP Advancement - Student Alumni Services ,ais-programmers@elist.tufts.edu,10.250.140.82
ERP FINANCE TTS,FINTECH@Tufts.Edu,10.250.146.121
ERP AMP - Student Alumni Services,med-amptech@elist.tufts.edu,10.250.146.46
CEEO - Center for Edu. and Outreach,ceeo_itadmin@elist@tufts.edu,10.250.108.120
VET - Cummings School of Veterinary Medicine,vetapps@tufts.edu,10.250.130.215
ERP HR - Human Resources TTS,hr_tech_team@tufts.edu,10.250.144.47
IAM - Identity and Access Management,iam@tufts.edu,10.250.108.206
OPS - Operations ,tts-operationsit@tufts.edu ,10.250.146.114
WebDev - Design and Digital Solutions TTS,ttswebhosting@tufts.edu,10.250.108.176
RT - Research Technology,rt-staff@elist.tufts.edu,10.250.109.62
